"Date:","11/14/2017 11:34:18"
"Component Count:","102"
"Amount","Ref","Value","Part number","Package","Lomex","Farnell","Description","Datasheet"
"","C1","0.1u","","2012","","","Unpolarized capacitor",""
"","C2","1000u","RVJ-10V102MH10U-R2","","91-01-02","","Polarised capacitor","http://lomex.hu/pdf/(eln)_rvj.pdf"
"","C3","0.47u","","","","","Unpolarized capacitor",""
"","C4","22u","","","","","Unpolarized capacitor",""
"","C5","1000u","RVJ-10V102MH10U-R2","","91-01-02","","Polarised capacitor","http://lomex.hu/pdf/(eln)_rvj.pdf"
"","C8","1u","","","","","Unpolarized capacitor",""
"","C9","0.1u","","","","","Unpolarized capacitor",""
"","C10","0.01u","","","","","Unpolarized capacitor",""
"","C11","1u","","","","","Unpolarized capacitor",""
"","C12","0.1u","","","","","Unpolarized capacitor",""
"","C13","0.1u","","","","","Unpolarized capacitor",""
"","C14","1u","","","","","Unpolarized capacitor",""
"","C15","10u","","","","","Unpolarized capacitor",""
"","C16","4.7u","","2012","","","Unpolarized capacitor",""
"","C17","0.1u","","2012","","","Unpolarized capacitor",""
"","C18","0.1u","","2012","","","Unpolarized capacitor",""
"","C19","0.1u","","2012","","","Unpolarized capacitor",""
"","C20","0.1u","","2012","","","Unpolarized capacitor",""
"","C21","2.2u","","2012","","","Unpolarized capacitor",""
"","C22","0.1u","","","","","Unpolarized capacitor",""
"","C23","0.1u","","2012","","","Unpolarized capacitor",""
"","D1","direct","FYLS-0805UBC","2012","95-01-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805ubc.pdf"
"","D2","feedback","FYLS-0805UBC","2012","95-01-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805ubc.pdf"
"","D3","line Tx","FYLS-0805PGC","2012","95-02-77","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805pgc.pdf"
"","D4","line Rx","KP-2012SYC","2012","95-00-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/kp212syc.pdf"
"","D5","GPS1 Tx","FYLS-0805PGC","2012","95-02-77","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805pgc.pdf"
"","D6","GPS1 Rx","KP-2012SYC","2012","95-00-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/kp212syc.pdf"
"","D7","GPS2 Tx","FYLS-0805PGC","2012","95-02-77","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805pgc.pdf"
"","D8","GPS2 Rx","KP-2012SYC","2012","95-00-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/kp212syc.pdf"
"","D9","1A - 20V","SSL12L","","83-01-27","","Schottky diode, alternativ symbol","https://lomex.hu/pdf/(tsc)_ss1xxl.pdf"
"","D10","1A - 20V","SSL12L","","83-01-27","","Schottky diode, alternativ symbol","https://lomex.hu/pdf/(tsc)_ss1xxl.pdf"
"","D11","24V","TZMC24-GS08","","85-00-45","","Zener Diode, alternativ symbol","https://lomex.hu/pdf/(vis)_tzm_serie.pdf"
"","D12","5V","FYLS-0805UBC","2012","95-01-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805ubc.pdf"
"","D13","3V3","","2012","95-01-14","","LED generic, alternativ symbol","http://lomex.hu/pdf/(kin)_kp-2012surc.pdf"
"","D14","GPS2 3V3","","2012","95-01-14","","LED generic, alternativ symbol","http://lomex.hu/pdf/(kin)_kp-2012surc.pdf"
"","D15","GPS1 3V3","","2012","95-01-14","","LED generic, alternativ symbol","http://lomex.hu/pdf/(kin)_kp-2012surc.pdf"
"","D16","5V1","","","","","Zener Diode, alternativ symbol",""
"","D17","5V","FYLS-0805UBC","2012","95-01-58","","LED generic, alternativ symbol","http://lomex.hu/pdf/(fyl)_fyls-0805ubc.pdf"
"","J1","I2C","NCW254-04S",""," 43-08-97","","Generic connector, single row, 01x04","https://lomex.hu/pdf/(g-s)_ncw254-xxs.pdf"
"","J2","line UART","NCW254-04S",""," 43-08-97","","Generic connector, single row, 01x04","https://lomex.hu/pdf/(g-s)_ncw254-xxs.pdf"
"","J3","GPS2 UART","NCW254-04S",""," 43-08-97","","Generic connector, single row, 01x04","https://lomex.hu/pdf/(g-s)_ncw254-xxs.pdf"
"","J4","GPS1 UART","NCW254-04S",""," 43-08-97","","Generic connector, single row, 01x04","https://lomex.hu/pdf/(g-s)_ncw254-xxs.pdf"
"","J5","PPS direct","","","","","point",""
"","J6","PPS selecctor","","2.45mm_SMD","","","Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP packge numbering)",""
"","J7","PPS feedback","","","","","point",""
"","J8","left bottom conn","","2x10 pin header","","","Generic connector, double row, 02x10, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)",""
"","J9","right bottom conn","","2x10 pin header","","","Generic connector, double row, 02x10, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)",""
"","J10","5VDC barrel jack ","DCS-5521-5","","43-07-67","","DCÂ Barrel Jack","https://lomex.hu/pdf/g-s/(g-s)_dcs-5521-5.pdf"
"","J11","PWR","","","","","point",""
"","J12","5V","","","","","point",""
"","J13","GPS2 conn","","","43-10-39","","Generic connector, double row, 02x04, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)","https://lomex.hu/pdf/phds22.pdf"
"","J14","PPS direct","",""," 43-28-28","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","http://www.farnell.com/datasheets/2048966.pdf?_ga=2.255982403.977653632.1507050986-872559284.1503258578"
"","J15","PPS feedback","",""," 43-28-28","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","http://www.farnell.com/datasheets/2048966.pdf?_ga=2.255982403.977653632.1507050986-872559284.1503258578"
"","J16","DC/DC in","","","","","point",""
"","J17","5V isolated","","","","","point",""
"","J18","RJ45","RJCSE-5380-01","","","2533494","RJ45 connector with shield","https://www.amphenolcanada.com/PDFjs/web/Viewer.html?file=../../ProductSearch/Drawings/AC/RJCSE538001.pdf"
"","J19","left top conn","","2x10 pin header","","","Generic connector, double row, 02x10, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)",""
"","J20","right top conn","","2x10 pin header","","","Generic connector, double row, 02x10, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)",""
"","JP1","GPS selector","","","","","Dual Jumper, normally closed",""
"","JP2","5V out","","","","","Jumper, generic, normally closed",""
"","JP3","3v3  in","","","","","Jumper, generic, normally closed",""
"","JP4","A0","","","","","Dual Jumper, normally closed",""
"","JP5","A1","","","","","Dual Jumper, normally closed",""
"","JP6","5V in","","","","","Jumper, generic, normally closed",""
"","JP7","GPS2 ant pwr","","","","","Dual Jumper, normally closed",""
"","JP8","5V isolated","","","","","Jumper, generic, normally closed",""
"","JP9","DC/DC in","","","","","Jumper, generic, normally closed",""
"","L1","4.7u","NRH2410T 4R7MN","","93-04-30","","Inductor","https://lomex.hu/pdf/t-y/wound04_e.pdf"
"","L2","10u","SDR0302-100ML","","93-02-04 ","","Inductor","https://lomex.hu/pdf/(bou)_sdr0302_serie.pdf"
"","Q1","BSV52LT1G","","SOT-23","86-00-58","","Transistor NPN (general)","https://lomex.hu/pdf/onibsv52.pdf"
"","Q2","BSV52LT1G","","SOT-23","86-00-58","","Transistor NPN (general)","https://lomex.hu/pdf/onibsv52.pdf"
"","R1","2k","","2012","","","Resistor",""
"","R2","2k","","2012","","","Resistor",""
"","R3","390","","2012","","","Resistor",""
"","R4","390","","2012","","","Resistor",""
"","R5","1k5","","","","","Resistor",""
"","R6","2k","","","","","Resistor",""
"","R7","1k5","","","","","Resistor",""
"","R8","2k","","","","","Resistor",""
"","R9","1k5","","","","","Resistor",""
"","R10","2k","","","","","Resistor",""
"","R11","2k","","2012","","","Resistor",""
"","R12","1k5","","2012","","","Resistor",""
"","R13","1k5","","2012","","","Resistor",""
"","R14","1k5","","2012","","","Resistor",""
"","R15","50","","2012","","","Resistor",""
"","R16","inf","","","","","Resistor",""
"","R17","50","","2012","","","Resistor",""
"","R18","inf","","","","","Resistor",""
"","R19","0","","2012","","","Resistor",""
"","R20","100","","","","","Resistor",""
"","R21","100","","","","","Resistor",""
"","R22","2k","","2012","","","Resistor",""
"","U1","ULN2003A","","SOIC-16","89-01-69","","High Voltage, High Current Darlington Transistor Arrays","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
"","U2","LM92","","SOIC-8","56-00-59","","Temperature Sensor, Thermal Window Comparator, I2C","http://www.ti.com/lit/ds/snis110d/snis110d.pdf"
"","U3","LM2940S-5.0","","TO-263","89-05-86","","5A 27V Linear Regulator, Fixed Output 3.3V, TO-220/TO-263","https://lomex.hu/pdf/lm2940.pdf"
"","U4","L86","","","","","L86, GPS receiver",""
"","U5","NXJ1S0505MC","","","","","Isolated 1W Single Output SM DC/DC Converter","http://power.murata.com/data/power/ncl/kdc_nxj1.pdf"
"","U6","ISO7421E","","SOIC-8","","","Low Power Dual-Channel 1/1 Digital Isolator, 25Mbps 33ns, Fail-Safe High, SO8","http://www.ti.com/lit/ds/symlink/iso7421e.pdf"
"","U7","ISO7421E","","SOIC-8","","","Low Power Dual-Channel 1/1 Digital Isolator, 25Mbps 33ns, Fail-Safe High, SO8","http://www.ti.com/lit/ds/symlink/iso7421e.pdf"
"","U8","SN65LBC179A","","SOIC-8","","","Low-Power Differential Line Driver and Receiver Pair, SOIC-8","http://www.ti.com/lit/ds/symlink/sn65lbc179a.pdf"
"","U9","SN65LBC179A","","SOIC-8","","","Low-Power Differential Line Driver and Receiver Pair, SOIC-8","http://www.ti.com/lit/ds/symlink/sn65lbc179a.pdf"
